configuration,status,valid,sentiment,follow_up_needed,serious_concern_reported,testimonial_potential,exact_match,denominator
qwen3-0.6b-q4km-nonthinking,complete,60,37,54,13,9,0,60
rules-v1,complete,60,22,25,35,41,10,60
qwen3-0.6b-sdk-thinking-on,complete,31,16,25,14,7,0,60
qwen3-0.6b-sdk-thinking-off,complete,0,0,0,0,0,0,60
qwen3-1.7b-sdk-thinking-on,complete,60,49,56,45,35,23,60
qwen3-1.7b-sdk-thinking-off,complete,60,51,55,44,43,28,60
qwen3.5-4b-sdk-thinking-on,complete,52,51,52,50,52,49,60
qwen3.5-4b-sdk-thinking-off,complete,60,48,58,51,57,41,60
qwen3-8b-sdk-thinking-on,complete,60,51,59,55,55,47,60
qwen3-8b-sdk-thinking-off,complete,60,48,58,51,57,41,60
qwen3.8-27b-sdk-thinking-low,complete,60,59,60,59,59,57,60
gemma4-e2b-sdk-thinking-on,complete,60,50,58,46,52,35,60
gemma4-e2b-sdk-thinking-off,complete,60,50,59,45,50,34,60
gemma4-e4b-sdk-thinking-on,complete,60,54,58,53,57,46,60
gemma4-e4b-sdk-thinking-off,complete,60,46,58,52,57,37,60
sonnet5-low-first-pass,completed_with_service_failure,59,59,58,58,56,54,60
sonnet5-low-with-retry,completed,60,59,59,59,57,54,60
opus5-low,completed,60,59,60,59,57,55,60
haiku45-not_applicable,completed,60,56,60,58,59,53,60
sonnet5-medium,completed,60,59,59,59,60,58,60
sonnet5-high,completed,60,59,60,58,60,57,60
sonnet5-xhigh,completed,60,58,60,59,60,57,60
sonnet5-max,completed,60,59,60,60,60,59,60
opus5-medium,completed,60,58,60,59,60,57,60
opus5-high,completed,60,59,60,59,60,58,60
opus5-xhigh,completed,60,59,59,59,60,58,60
opus5-max,completed,60,59,60,60,59,58,60
fable51-low,completed,60,59,59,59,60,58,60
fable51-medium,completed,60,59,59,59,59,57,60
fable51-high,completed,60,59,60,59,59,57,60
fable51-xhigh,completed,60,59,60,59,60,58,60
fable51-max,completed,60,59,60,59,60,58,60
opus55-low-batch10,completed,60,60,59,59,60,59,60
opus55-medium-batch10,completed,60,59,59,59,60,58,60
opus55-high-batch10,completed,60,60,59,59,60,59,60
opus55-xhigh-batch10,completed,60,59,59,59,60,58,60
typesafe-jev113-v2,complete,60,56,58,57,58,54,60
openjev-fixed,complete,60,57,59,56,58,52,60
openjev-adaptive,complete,60,56,59,56,58,51,60
openjev-thinking,complete,60,57,60,60,60,57,60
openjev-generated-off,complete,52,50,51,50,51,46,60
openjev-generated-on,complete,59,56,58,56,57,53,60
semif-direct,complete,60,50,56,50,54,36,60
semif-serial,complete,60,50,56,49,54,35,60
semif-shared,complete,60,50,56,49,54,35,60
alex-openjev08,complete,60,39,37,20,9,3,60
laya-english-expanded-cpu,complete,60,41,42,33,13,0,60
laya-typed-expanded-cpu,complete,60,39,47,32,10,0,60
semif-generated-bf16,complete,52,46,51,47,46,35,60
anyjev-qwen06-raw,complete,60,8,35,25,33,0,60
anyjev-qwen06-l0,complete,60,37,13,34,44,4,60
anyjev-qwen06-generated-control,complete,0,0,0,0,0,0,60
codex-gpt-5.6-luna-low,completed_with_initialization_retries,60,57,60,57,60,56,60
codex-gpt-5.6-luna-medium,completed,60,58,60,58,58,54,60
codex-gpt-5.6-luna-high,completed,60,58,59,59,59,57,60
codex-gpt-5.6-luna-xhigh,completed_after_infrastructure_recovery,60,58,60,58,60,57,60
codex-gpt-6-astra-low,completed_with_initialization_retries,60,57,60,59,60,56,60
codex-gpt-6-astra-medium,completed,60,59,59,59,60,58,60
codex-gpt-6-astra-high,completed,60,59,60,59,60,58,60
codex-gpt-6-astra-xhigh,completed,60,59,59,59,60,58,60
codex-gpt-5.6-sol-low,completed,60,58,60,60,60,58,60
codex-gpt-5.6-sol-medium,completed,60,58,60,58,60,57,60
